ID,Name,Latitude,Longitude,Elevation
29621284,Torlum,56.3506169,-3.9125768,393
29621628,Moncreiffe Hill,56.3644459,-3.3994929,223
29622194,Win Hill,53.3624177,-1.7206779,464
29718234,Swyre Head,50.6060231,-2.0940271,203
29723695,Banc Craignant-Mawr,52.4217453,-3.8603732,N/A
29723835,Cefn Croes,52.4048298,-3.7528686,N/A
29723836,Esgair Ychion,52.4059703,-3.6994016,N/A
29723927,Oldchapel Hill,52.4147609,-3.5069185,N/A
29723950,Pegwyn Mawr,52.4203885,-3.4366662,N/A
29723996,Garn Fach,52.4234651,-3.4104662,N/A
29724440,Llanfair Hill,52.4071685,-3.0969541,N/A
29724441,Rock Hill,52.4066701,-3.0611555,N/A
29724446,Sunny Hill,52.4480742,-2.9904974,392
29724666,Hergan,52.4613014,-3.0863159,409
29724667,N/A,52.4578269,-3.1205723,N/A
29724670,Black Mountain,52.4408581,-3.1902322,448
29728124,Cilfaesty Hill,52.4477071,-3.2842604,528
29728137,Glog,52.4593142,-3.330853,480
29728217,Moelfre,52.4349636,-3.4789675,N/A
29728588,Y Foel,52.4432835,-3.7109841,N/A
29728589,Tor Du,52.4564063,-3.7045708,N/A
29728629,Gïas,52.460943,-3.6734692,475
29728642,Llechwedd Hirgoed,52.4345924,-3.7350789,N/A
29728728,Nab Scar,54.4568807,-2.9959192,455
29728729,Heron Pike,54.4661329,-2.9951134,612
29728730,Stone Arthur,54.4742568,-3.0083763,503
29728739,Low Pike,54.4620919,-2.967968,508
29728740,High Pike,54.470955,-2.9667009,656
29728741,Red Screes,54.4706157,-2.9326708,776
29728742,Middle Dodd,54.478658,-2.9314423,642
29728745,Hartsop Above How,54.4998081,-2.9532596,586
29728746,Dove Crag,54.485422,-2.9669491,792
29728747,Hart Crag,54.4923603,-2.9756835,822
29728748,Great Rigg,54.4847735,-2.9959208,766
29728749,Seat Sandal,54.4947331,-3.0144908,736
29728787,Disgwylfa Fawr,52.4459597,-3.8593103,506
29729353,Bryn Gwyn,52.4910956,-3.8693986,N/A
29729453,Cefn Yr Esgair,52.4896296,-3.8436485,N/A
29729454,Banc Llechwedd Mawr,52.4923747,-3.8057041,560
29729474,Mynydd Y Groes,52.4726551,-3.6641374,480
29729493,Dinas,52.4852583,-3.6163073,445
29729494,Bryn-Y-Fan,52.48391,-3.5754098,482
29729638,Bedran,52.4848251,-3.2205506,356
29729647,Pant Hill,52.501859,-3.1425292,418
29729650,Colebatch Hill,52.4803985,-3.043838,N/A
29730535,Caeliber,52.5325874,-3.1629048,N/A
29730703,Foel y Belan,52.5287566,-3.4859357,N/A
29730704,Mynydd Garth,52.5362214,-3.5042347,N/A
29730710,Waen Garno,52.5367869,-3.5385791,N/A
29730711,Bryn Crugog,52.518433,-3.5615189,N/A
29730712,Bryn Yr Oerfa,52.5342796,-3.6186971,N/A
29730714,Y Ffridd,52.5117345,-3.667618,N/A
29730748,Llechwedd Diflas,52.523038,-3.7946942,N/A
29730751,St Sunday Crag,54.5119679,-2.9758661,841
29730754,Arnison Crag,54.5263024,-2.9385699,433
29730755,Helvellyn,54.5269905,-3.017604,950
29730758,Raise,54.5478037,-3.0176417,883
29730759,Birkhouse Moor,54.5368606,-2.9836348,718
29730760,Sheffield Pike,54.55477,-2.9767772,675
29730761,Glenridding Dodd,54.5494179,-2.9589914,442
29730762,Stybarrow Dodd,54.5608469,-3.0174293,843
29730763,Watsons Dodd,54.5669182,-3.0289595,789
29730764,Great Dodd,54.5759231,-3.0195211,857
29730767,Gowbarrow Fell,54.5880521,-2.9182537,481
29730776,Moel Y Lynn,52.508101,-3.8991199,N/A
29730794,Castell,52.5012444,-3.8644074,N/A
29730801,N/A,52.52908,-3.850726,N/A
29731230,Mynydd Coronwen,52.5245192,-3.9113853,N/A
29731245,Moel Y Garn,52.5026553,-3.928942,N/A
29731246,Foel Goch,52.5180291,-3.9245126,N/A
29731452,Bryn-y-Fedwen,52.5434165,-3.7105823,N/A
29731453,Foel Fadian,52.5438922,-3.7273536,N/A
29731464,Mynydd Cil-cwm,52.5540353,-3.6823203,N/A
29731476,Bryn Amlwg,52.5632457,-3.5936795,488
29731484,N/A,52.5658935,-3.455086,N/A
29731727,Corndon Hill,52.5657197,-3.0252701,513
29731728,Black Rhadley Hill,52.5541896,-2.9708252,401
29731987,Y Glon,52.5784293,-3.476635,461
29731988,Y Foel,52.6041657,-3.4602529,N/A
29732043,Coryn Y Ffridd,52.602039,-3.665022,N/A
29732050,Mynydd Tyr Sais,52.5892861,-3.6919374,N/A
29732145,Trum Gelli,52.5951594,-3.9854103,535
29732146,Pen Trum-gwr,52.6075283,-3.9930808,512
29732150,Corlan Fraith,52.5812215,-4.0226055,406
29737087,Top Tor,50.5723416,-3.7861029,N/A
29737088,Pil Tor,50.5695384,-3.7875044,N/A
29738919,N/A,52.6007771,-4.0231522,339
29738957,Tarrenhendre,52.619166,-3.9471329,634
29739175,Penylau Y Gwynion,52.6449012,-3.5751272,N/A
29739180,Bryn Castell,52.6323736,-3.5154525,N/A
29739288,Long Mountain,52.6700873,-3.070566,381
29739463,Pen Coed,52.6705764,-3.4976073,360
29739471,Mynydd Llyn Coch-hwyad,52.6794456,-3.6110439,503
29739477,Esgair Ddu,52.6817829,-3.6681705,464
29739633,Mynydd Cwmcelli (Craig Goch),52.6740792,-3.7694247,469
29739680,Mynydd Dol-Fanog,52.6812022,-3.8576366,544
29739682,Foel Caerberllan,52.6553789,-3.95778,376
29739735,Mynydd Pennant,52.6757547,-3.9744001,467
29739758,Twllydarren,52.658313,-4.0280033,395
29739770,Braich Ddu,52.6892665,-4.0057412,546
29747302,Mynydd Dolgoed,52.707713,-3.7822207,576
